# subscribed links TSV file

type	HousingKeywords	name	category	cities	isrent	issell	rentline	sellline
type	HousingCity	name	hotrent1	hotrent2	hotrent3	hotsell1	hotsell2	hotsell3	rentnum	tenantnum	sellnum
type	HousingDistrict	city	name	hotrent1	hotrent2	hotrent3	hotsell1	hotsell2	hotsell3	rentnum	tenantnum	sellnum
type	HousingNeighborhood	city	district	name	relatedrent1	relatedrent2	relatedrent3	relatedsell1	relatedsell2	relatedsell3	rentnum	tenantnum	sellnum

type	HousingHotCities	city1	city2	city3	city4	city5	city6	city7	city8	city9	city10	city11	city12	city13	city14

data	HousingHotCities	HHC001	北京	上海	广州	深圳	南京	重庆	天津	沈阳	成都	哈尔滨	苏州	杭州	武汉	青岛

data	HousingKeywords	HK000	房屋信息	出租	HHC001	HK000	HK000	HK000	HK000	房屋	房屋信息	房子	房子信息	看房	住房	找房子
data	HousingKeywords	HK001	租房	出租	HHC001	HK001		HK001		租房	求租	出租	出租房	租赁	租房信息	租屋	短租房	短期租房	房屋出租	出租房屋	房屋租赁	租房网	租房信息网	房屋求租	求租房屋	日租房	出租房源
data	HousingKeywords	HK002	找合租	合租	HHC001			HK002		合租	合租房	找合租	合租房源
data	HousingKeywords	HK003	二手房	出售	HHC001				HK003	二手房	卖房	卖屋	售房	售屋	二手房信息	2手房	2手房信息	找二手房	二手房网	二手房信息网	出售房源	二手房源	二手房房源
data	HousingNeighborhood	HN04200	天津	南开区	瑞地里	HN04255	HN04257	HN04591	HN04255	HN04257	HN04591	38	3	49	天津瑞地里	天津南开瑞地里	天津南开区瑞地里	天津市瑞地里	天津市南开瑞地里	天津市南开区瑞地里	瑞地里	南开瑞地里	南开区瑞地里
data	HousingNeighborhood	HN02332	北京	朝阳区	劲松八区	HN02842	HN02830	HN02809	HN02842	HN02809	HN02830	288	67	108	北京劲松八区	北京朝阳劲松八区	北京朝阳区劲松八区	北京市劲松八区	北京市朝阳劲松八区	北京市朝阳区劲松八区	劲松八区	朝阳劲松八区	朝阳区劲松八区
data	HousingNeighborhood	HN06534	深圳	罗湖区	滨河小学	HN06673			HN06673			29	2	40	深圳罗湖区滨河小学	深圳滨河小学	深圳罗湖滨河小学	深圳市罗湖区滨河小学	深圳市滨河小学	深圳市罗湖滨河小学	罗湖区滨河小学	滨河小学	罗湖滨河小学
data	HousingNeighborhood	HN01977	北京	宣武区	右安门内大街	HN02842	HN01989	HN01805	HN02842	HN01989	HN01805	82	5	141	北京右安门内大街	北京宣武区右安门内大街	北京宣武右安门内大街	北京市右安门内大街	北京市宣武区右安门内大街	北京市宣武右安门内大街	右安门内大街	宣武区右安门内大街	宣武右安门内大街
data	HousingNeighborhood	HN07252	郑州		保全街	HN07247	HN07276		HN07276	HN07247		38	9	220	郑州保全街	郑州市保全街	保全街
data	HousingNeighborhood	HN04534	天津	河西区	环湖中路	HN04548	HN04508	HN04515	HN04508	HN04548	HN04528	557	14	862	天津环湖中路	天津河西环湖中路	天津河西区环湖中路	天津市环湖中路	天津市河西环湖中路	天津市河西区环湖中路	环湖中路	河西环湖中路	河西区环湖中路
data	HousingNeighborhood	HN07086	苏州		高尔夫花园	HN07118	HN07153	HN06951	HN07118	HN06951	HN07027	1269	71	6356	苏州高尔夫花园	苏州市高尔夫花园	高尔夫花园
data	HousingNeighborhood	HN04915	广州	番禺区	华南碧桂园	HN04904	HN04683	HN04921	HN04921	HN04904	HN04683	913	6	2900	广州华南碧桂园	广州番禺华南碧桂园	广州番禺区华南碧桂园	广州市华南碧桂园	广州市番禺华南碧桂园	广州市番禺区华南碧桂园	华南碧桂园	番禺华南碧桂园	番禺区华南碧桂园
data	HousingNeighborhood	HN02044	北京	崇文区	绿景苑	HN02070	HN02074	HN01986	HN02070	HN02074	HN02059	373	1	233	北京绿景苑	北京崇文区绿景苑	北京崇文绿景苑	北京市绿景苑	北京市崇文区绿景苑	北京市崇文绿景苑	绿景苑	崇文区绿景苑	崇文绿景苑
data	HousingNeighborhood	HN02852	北京	朝阳区	太阳宫	HN02899	HN02793	HN02779	HN02899	HN02793	HN02779	3581	561	6981	北京太阳宫	北京朝阳太阳宫	北京朝阳区太阳宫	北京市太阳宫	北京市朝阳太阳宫	北京市朝阳区太阳宫	太阳宫	朝阳太阳宫	朝阳区太阳宫
data	HousingNeighborhood	HN05293	杭州	上城区	美政花园	HN05280			HN05280			45	1	114	杭州美政花园	杭州上城区美政花园	杭州上城美政花园	杭州市美政花园	杭州市上城区美政花园	杭州市上城美政花园	美政花园	上城区美政花园	上城美政花园
data	HousingNeighborhood	HN07343	重庆		新街							804	57	750	重庆新街	重庆市新街	新街
data	HousingNeighborhood	HN01814	北京	丰台区	建国街	HN03754	HN01790	HN01816	HN03754	HN01816	HN01788	11	8	50	北京建国街	北京丰台建国街	北京丰台区建国街	北京市建国街	北京市丰台建国街	北京市丰台区建国街	建国街	丰台建国街	丰台区建国街
data	HousingNeighborhood	HN00099	上海	奉贤区	延安	HN01050	HN01181	HN01027	HN01050	HN01181	HN01019	173	7	542	上海延安	上海奉贤延安	上海奉贤区延安	上海市延安	上海市奉贤延安	上海市奉贤区延安	延安	奉贤延安	奉贤区延安
data	HousingNeighborhood	HN06104	深圳	宝安区	海湾中学	HN06037	HN06153	HN06175	HN06153	HN06037	HN06175	98	3	346	深圳海湾中学	深圳宝安区海湾中学	深圳宝安海湾中学	深圳市海湾中学	深圳市宝安区海湾中学	深圳市宝安海湾中学	海湾中学	宝安区海湾中学	宝安海湾中学
data	HousingNeighborhood	HN02084	北京	崇文区	西花市大街	HN02070	HN02074	HN01986	HN02070	HN02074	HN01986	296	40	321	北京西花市大街	北京崇文区西花市大街	北京崇文西花市大街	北京市西花市大街	北京市崇文区西花市大街	北京市崇文西花市大街	西花市大街	崇文区西花市大街	崇文西花市大街
data	HousingNeighborhood	HN02541	北京	朝阳区	新城国际	HN02842	HN02902	HN02627	HN02842	HN02902	HN02591	3206	29	3415	北京新城国际	北京朝阳新城国际	北京朝阳区新城国际	北京市新城国际	北京市朝阳新城国际	北京市朝阳区新城国际	新城国际	朝阳新城国际	朝阳区新城国际
data	HousingNeighborhood	HN05326	杭州	下城区	东河锦园	HN05383	HN05384		HN05384	HN05383		58	0	179	杭州东河锦园	杭州下城区东河锦园	杭州下城东河锦园	杭州市东河锦园	杭州市下城区东河锦园	杭州市下城东河锦园	东河锦园	下城区东河锦园	下城东河锦园
data	HousingNeighborhood	HN03255	北京	海淀区	育英中学	HN02899	HN03342	HN02922	HN02899	HN03342	HN02922	50	16	63	北京育英中学	北京海淀育英中学	北京海淀区育英中学	北京市育英中学	北京市海淀育英中学	北京市海淀区育英中学	海淀育英中学	海淀区育英中学
data	HousingNeighborhood	HN00279	上海	徐汇区	天等路	HN00294	HN01180	HN00324	HN00294	HN00341	HN01180	145	8	330	上海天等路	上海徐汇区天等路	上海徐汇天等路	上海市天等路	上海市徐汇区天等路	上海市徐汇天等路	天等路	徐汇区天等路	徐汇天等路
data	HousingNeighborhood	HN04004	厦门	思明区	禾祥东路	HN04000	HN03996	HN03978	HN04000	HN03996	HN03978	493	3	92	厦门禾祥东路	厦门思明区禾祥东路	厦门思明禾祥东路	厦门市禾祥东路	厦门市思明区禾祥东路	厦门市思明禾祥东路	禾祥东路	思明区禾祥东路	思明禾祥东路
data	HousingNeighborhood	HN05306	杭州	上城区	建国中路	HN05383	HN05318		HN05383	HN05318		198	2	393	杭州建国中路	杭州上城区建国中路	杭州上城建国中路	杭州市建国中路	杭州市上城区建国中路	杭州市上城建国中路	建国中路	上城区建国中路	上城建国中路
data	HousingNeighborhood	HN00724	上海	浦东新区	东方路	HN00877	HN00121	HN00818	HN00877	HN00121	HN00818	3578	500	4259	上海东方路	上海浦东新区东方路	上海浦东东方路	上海市东方路	上海市浦东新区东方路	上海市浦东东方路	东方路	浦东新区东方路	浦东东方路
data	HousingNeighborhood	HN07251	郑州		优胜南路	HN07261	HN07283	HN07239	HN07261	HN07283	HN07239	77	1	1075	郑州优胜南路	郑州市优胜南路	优胜南路
data	HousingNeighborhood	HN07512	青岛	市南区	大公海岸							148	0	395	青岛大公海岸	青岛市南区大公海岸	青岛市南大公海岸	青岛市大公海岸	青岛市市南区大公海岸	青岛市市南大公海岸	大公海岸	市南区大公海岸	市南大公海岸
data	HousingNeighborhood	HN01758	北京	丰台区	西罗园南里	HN01819	HN01850	HN01806	HN01819	HN01850	HN01806	273	26	215	北京西罗园南里	北京丰台西罗园南里	北京丰台区西罗园南里	北京市西罗园南里	北京市丰台西罗园南里	北京市丰台区西罗园南里	西罗园南里	丰台西罗园南里	丰台区西罗园南里
data	HousingNeighborhood	HN02298	北京	朝阳区	亮马水晶	HN02899	HN02953	HN02902	HN02899	HN02953	HN02902	246	3	322	北京亮马水晶	北京朝阳亮马水晶	北京朝阳区亮马水晶	北京市亮马水晶	北京市朝阳亮马水晶	北京市朝阳区亮马水晶	亮马水晶	朝阳亮马水晶	朝阳区亮马水晶
data	HousingNeighborhood	HN07539	青岛	市南区	东海西路	HN07531	HN07514		HN07514	HN07531		323	3	520	青岛东海西路	青岛市南区东海西路	青岛市南东海西路	青岛市东海西路	青岛市市南区东海西路	青岛市市南东海西路	东海西路	市南区东海西路	市南东海西路
data	HousingNeighborhood	HN01801	北京	丰台区	南三环中路	HN01819	HN01850	HN01837	HN01819	HN01850	HN01837	565	119	607	北京南三环中路	北京丰台南三环中路	北京丰台区南三环中路	北京市南三环中路	北京市丰台南三环中路	北京市丰台区南三环中路	南三环中路	丰台南三环中路	丰台区南三环中路
data	HousingNeighborhood	HN04880	广州	海珠区	下渡路	HN04904	HN04683	HN04808	HN04904	HN04683	HN04808	328	25	442	广州下渡路	广州海珠下渡路	广州海珠区下渡路	广州市下渡路	广州市海珠下渡路	广州市海珠区下渡路	下渡路	海珠下渡路	海珠区下渡路
data	HousingNeighborhood	HN07313	郑州		航海东路	HN07268	HN07284		HN07268	HN07284		146	7	790	郑州航海东路	郑州市航海东路	航海东路
data	HousingNeighborhood	HN04569	天津	红桥区	隆春里	HN04260	HN04248	HN04568	HN04260	HN04248	HN04568	110	3	241	天津隆春里	天津红桥隆春里	天津红桥区隆春里	天津市隆春里	天津市红桥隆春里	天津市红桥区隆春里	隆春里	红桥隆春里	红桥区隆春里
data	HousingNeighborhood	HN07425	长沙	天心区	书院路	HN07448	HN07426		HN07426	HN07448		189	13	912	长沙书院路	长沙天心区书院路	长沙天心书院路	长沙市书院路	长沙市天心区书院路	长沙市天心书院路	书院路	天心区书院路	天心书院路
data	HousingNeighborhood	HN00055	上海	卢湾区	复兴公园	HN00309	HN00064	HN00074	HN00064	HN00309	HN00074	50	13	92	上海复兴公园	上海卢湾区复兴公园	上海卢湾复兴公园	上海市复兴公园	上海市卢湾区复兴公园	上海市卢湾复兴公园	复兴公园	卢湾区复兴公园	卢湾复兴公园
